Tahun,#Motor
1996,436552
1997,494057
1998,544877
1999,530226
2000,578182
2001,680371
2002,734919
2003,773653
2004,898675
2005,103552
2006,108863
2007,115721
2008,122762
2009,131703
2010,144928
2011,215457
2012,23746
2013,258672
2014,281119
2015,301529
2016,318495
2017,333733
2018,351642
2019,371864
2020,381196
2021,38776
